#sourcename, flux, flux_err, ra, dec, ra_err, dec_err, bmaj, bmin, pos_angle, rms
SERPS_lower_try2.S12 3.00469104496e-05 2.6248803381e-06 -82.4828556322 -2.05079712799 0.206614656629 0.17076708625 5.58764798651 3.95503521243 155.665144179 3.4238819353e-05
SERPS_lower_try2.S13 0.000186976012159 1.54724237022e-06 -82.4853364496 -2.05238593427 0.0195714901561 0.016175843486 4.84651626131 3.9018657143 14.3772105264 3.4238819353e-05
SERPS_lower_try2.S14 3.16203775383e-05 6.55377394049e-07 -82.484015479 -2.05361638218 0.0490202884305 0.0421937329372 4.13791450626 3.67671266612 21.7958656639 3.4238819353e-05
SERPS_lower_try2.S15 6.81309718227e-05 1.77559640149e-06 -82.4809912471 -2.05369517298 0.061638369281 0.0509441338532 5.7121494576 4.04460894976 19.4556895109 3.4238819353e-05
SERPS_lower_try2.S16 6.30427775941e-05 2.12615491754e-06 -82.4864378013 -2.05742483469 0.079764754165 0.0659255973244 5.11068939954 3.84011596113 42.6808196675 3.4238819353e-05
SERPS_lower_try2.S17 0.000146846344785 3.31795084916e-06 -82.4944690616 -2.06197306167 0.0534389913997 0.0441673451554 5.1273573639 3.79303203768 10.2519801783 3.4238819353e-05
SERPS_lower_try2.S18 0.000170915942745 3.85425919961e-06 -82.460790406 -2.06906659254 0.0533346924094 0.0440811420033 4.49786069053 3.69561080094 11.5733427939 3.4238819353e-05
SERPS_upper_try2.S1 0.000844332181748 8.56148466425e-06 -82.4596577368 -2.00912213358 0.0156345578919 0.0128090968293 3.05264764697 2.6268451735 13.8571008744 2.62090379692e-05
SERPS_upper_try2.S2 8.7586208506e-05 7.08936140204e-06 -82.480049637 -2.00948499322 0.124801911018 0.10224783929 3.25896665744 2.78005601171 6.55493387926 2.62090379692e-05
SERPS_upper_try2.S3 0.000116319305282 1.08563363814e-05 -82.4893908815 -2.01347960414 0.143906805339 0.117900116954 3.98939437984 2.76692875586 34.5363924835 2.62090379692e-05
SERPS_upper_try2.S4 0.000946585378224 2.86865921628e-05 -82.4936136537 -2.01432747553 0.0467271204236 0.0382826437561 4.59042622398 3.14461158423 22.8344412819 2.62090379692e-05
SERPS_upper_try2.S5 0.000167290169633 1.02833491437e-05 -82.4383764716 -2.0242376907 0.0947794116637 0.0776509748352 2.73359272824 2.56189607857 152.907939005 2.62090379692e-05
SERPS_upper_try2.S6 3.35146368048e-05 4.55774075916e-06 -82.4724331538 -2.02469054854 0.20968384117 0.171789995192 2.09594206058 1.98356330987 103.29931938 2.62090379692e-05
SERPS_upper_try2.S7 8.43193203344e-05 7.66105102516e-06 -82.4758031296 -2.02915148396 0.140091283676 0.114774132403 3.76430876037 2.68358669549 71.6230773926 2.62090379692e-05
SERPS_upper_try2.S8 5.00814835504e-05 6.15979914903e-06 -82.4713079709 -2.03652701799 0.189644053569 0.155371777191 3.52391358823 2.2907986013 6.18702427745 2.62090379692e-05
SERPS_upper_try2.S9 6.07517066188e-05 1.33665364368e-06 -82.4883394399 -2.04035016509 0.0339242499763 0.0277934947577 3.47616491842 3.01982783317 154.521291984 2.62090379692e-05
SERPS_upper_try2.S10 0.000260724084444 1.72154504397e-05 -82.48772044 -2.04227651095 0.101809219251 0.0834103628975 6.58999456829 4.6597918352 176.192176935 2.62090379692e-05
