#sourcename, flux, flux_err, ra, dec, ra_err, dec_err, bmaj, bmin, pos_angle, rms
SERPS_lower.S14 6.90414470985e-05 1.52149474134e-05 -82.4831036924 -2.05076021115 0.526395423258 0.431195121622 11.9445826306 6.20725584628 142.610498055 3.80641686206e-05
SERPS_lower.S15 0.000191945340219 5.92469016108e-06 -82.4853429647 -2.05240351807 0.0737292141467 0.0603950491521 4.97233261812 4.0841554778 12.5592144288 3.80641686206e-05
SERPS_lower.S16 19895.5124531 1374.83275416 -82.6205245367 -1.89598728337 32.4023981686 37.5266398254 471.506307153 258.740123104 35.2516929954 3.80641686206e-05
SERPS_lower.S17 3.98551708498e-05 5.15621604297e-06 -82.4809048857 -2.05363206465 0.309028086069 0.253139364952 5.57165935016 3.11865189805 22.5612124301 3.80641686206e-05
SERPS_lower.S18 0.000104800299413 1.6584095763e-05 -82.4869035945 -2.05711415165 0.377990436151 0.309629652704 7.86857874695 5.22789736109 112.745409327 3.80641686206e-05
SERPS_lower.S19 0.000139086103749 4.03652668296e-06 -82.494482143 -2.06194722349 0.0693227244296 0.0567854872419 5.19226501375 3.68084316368 10.975004531 3.80641686206e-05
SERPS_lower.S20 0.000101703666281 6.60681078741e-06 -82.4998482015 -2.06635003352 0.155169656332 0.127106726005 6.63792828959 4.29616845762 103.573806554 3.80641686206e-05
SERPS_lower.S21 0.000152617073559 4.83889811284e-06 -82.4608164112 -2.06905848398 0.0757346979886 0.0620378348051 4.47613351472 3.48414940467 9.87826197084 3.80641686206e-05
SERPS_upper.S1 0.000170227782379 8.97037968869e-06 -82.4383909442 -2.02425586469 0.0823196250287 0.067457550873 2.8660085742 2.55060675255 174.110845751 3.00388892356e-05
SERPS_upper.S2 0.000869156730777 9.80041336857e-06 -82.459661064 -2.00912111639 0.0176144581778 0.0144343248432 3.14022610641 2.69044976658 14.8409614003 3.00388892356e-05
SERPS_upper.S3 4.50871245636e-05 8.47757090041e-06 -82.474512155 -2.01289253185 0.293725668563 0.240696118609 4.31026178965 2.39368027086 57.0919028913 3.00388892356e-05
